,CLOUD_COVER,CLOUD_COVER_LAND,DATE_ACQUIRED,UTM_ZONE,WRS_PATH,WRS_ROW,Systemindex
385,78.98,78.98,2022/9/25,47,132,40,LC08_132040_20220925
386,81.47,81.47,2022/10/11,47,132,40,LC08_132040_20221011
387,11.01,11.01,2022/10/27,47,132,40,LC08_132040_20221027
388,0.81,0.81,2022/11/12,47,132,40,LC08_132040_20221112
389,26.78,26.78,2013/4/25,47,132,41,LC08_132041_20130425
390,38.64,38.64,2013/5/27,47,132,41,LC08_132041_20130527
391,11.2,11.2,2013/6/12,47,132,41,LC08_132041_20130612
392,36.28,36.28,2013/8/15,47,132,41,LC08_132041_20130815
393,71.85,71.85,2013/10/18,47,132,41,LC08_132041_20131018
394,25.9,25.9,2013/11/3,47,132,41,LC08_132041_20131103
395,3.33,3.33,2013/11/19,47,132,41,LC08_132041_20131119
396,1.16,1.16,2013/12/5,47,132,41,LC08_132041_20131205
